route,description
B0001D1PPMO,"Pipe(Hydraulic) Inspection - B1433 - Amine Expansion Vessel
Filter(Liquid) Inspection - B1437 - Amine Piping System
Pipe(Hydraulic) Inspection - B1441 - Acetate Expansion Vessel (Potassium)
Pipe(Hydraulic) Inspection - B1444 - Acetate Piping System (Potassium)"
B0001D1PPMO1,Gauge(Pressure) Inspection
B0001M1PDMM,Inspect Valve(Hand)
B0001M1PDMM1,Valve (Check) Inspection
B0001M1PPME,Inspect Motor(AC)
B0001M1PPMM,"Inspect Arm(Torque) - B1105 - Polyol Unloading Pump
Inspect Arm(Torque) - B1115 - Polyol Tanks Transfer Pump
Inspect Pump for Leaks & Bad Noise - B1803 - Polyol Mix Dynamic Mixer
Inspect Arm(Torque) - B1805 - Polyol Mix Delivery Pump
Inspect Arm(Torque) - B1820 - Polyol Mix Metering Pump 1
Inspect Arm(Torque) - B1822 - Polyol Mix Metering Pump 2
Inspect Arm(Torque) - B1824 - Polyol Mix Metering Pump 3"
B0001M1PPMM1,Inspect Guard
B0001M1PPMM2,Diaphragm Pump Inspection
B0001M3HKGM,Pump Cleaning
B0001M3HKGM1,Valve(Hand) Cleaning
B0001M3PPME,Inspect Motor(AC) 1
B0001M3PPME1,Inspect Sensor(Level)
B0001M3PPMM,Inspect Hose(Pneumatic)
B0001M3PPMM1,Inspect Valve
B0001M3PPMM2,Inspect Valve(Hand)
B0001M3PPMM3,Inspect Coupling
B0001M3PPMM4,Valve(Hand) Cleaning
B0001M3PPMO,Inspect Valve(Ball/Butterfly/Globe)
B0001M6HKGO,Sensor(Level) Cleaning
B0001M6PPMM,Inspect Valve(Flow Control) 1
B0001M6PPMM1,Sensor(Level) Cleaning
B0001W1PPMO,GearBox Inspection
B0001W1PPMO1,Valve(Hand) Inspection
B0001Y1LC1M,Inspect Valve(Pressure Relief/Safety)
B0001Y1LUBM,Inspect Oil(Gearbox)
B0001Y1PPME,Inspect Motor(AC) 2
B0001Y1PPMM,"Inspect Valve(Flow Control) - B1110 - Polyol Storage Tank 1
Valve(Vacuum Relief) Inspection - B1110 - Polyol Storage Tank 1
Inspect Valve(Flow Control) - B1114 - Polyol Storage Tank 2
Inspect Valve(Flow Control) - B1135 - Polyol Heat Exchanger
Inspect Valve(Flow Control) - B1140 - Polyol Piping System
Inspect Valve(Flow Control) - B1813 - Polyol Mix Heat Exchanger 1
Inspect Valve(Flow Control) - B1815 - Polyol Mix Heat Exchanger 2
Inspect Valve(Flow Control) - B1817 - Polyol Mix Heat Exchanger 3
Inspect Valve(Flow Control) - B1827 - Polyol Mix Piping System"
B0001Y1PPMM1,Inspect Heater(Electric)
B0001Y1PPMM2,Oil(Gearbox) Inspection
